datetime, ticker, price, signal, pnl
2023-01-30-13:20, MSFT, 243.345, 1, -0.16
2023-01-30-13:20, TOST, 22.43, 1, -0.01
2023-01-30-13:25, AAPL, 143.637, 1, 0.14
2023-01-30-13:25, MSFT, 243.5, 1, -0.23
2023-01-30-13:25, TOST, 22.44, 1, 0.01
2023-01-30-13:30, AAPL, 143.4978, 1, 0.19
2023-01-30-13:30, MSFT, 243.272, -1, -0.33
2023-01-30-13:30, TOST, 22.43, 1, 0.16
2023-01-30-13:35, AAPL, 143.31, 1, 0.03
2023-01-30-13:35, MSFT, 242.94, -1, 0.07
2023-01-30-13:35, TOST, 22.275, 1, 0.01
2023-01-30-13:40, AAPL, 143.275, 1, 0.11
2023-01-30-13:40, MSFT, 243.01, -1, -0.19
2023-01-30-13:40, TOST, 22.26, 1, 0.01
2023-01-30-13:45, AAPL, 143.17, 1, -0.12
2023-01-30-13:45, MSFT, 242.82, -1, -0.02
2023-01-30-13:45, TOST, 22.255, 1, 0.07
2023-01-30-13:50, AAPL, 143.295, 1, 0.06
2023-01-30-13:50, MSFT, 242.798, -1, -0.17
2023-01-30-13:50, TOST, 22.1801, 1, -0.04
2023-01-30-13:55, AAPL, 143.23, 1, -0.15
2023-01-30-13:55, MSFT, 242.63, -1, 0.26
2023-01-30-13:55, TOST, 22.225, 1, -0.04
2023-01-30-14:00, AAPL, 143.375, 1, -0.1
2023-01-30-14:00, MSFT, 242.8945, -1, 0.14
2023-01-30-14:00, TOST, 22.27, 1, -0.02
2023-01-30-14:05, AAPL, 143.48, 1, 0.15
2023-01-30-14:05, MSFT, 243.03, -1, -0.07
2023-01-30-14:05, TOST, 22.29, 1, 0.01
2023-01-30-14:10, AAPL, 143.3345, 1, -0.05
2023-01-30-14:10, MSFT, 242.9601, -1, 0.07
2023-01-30-14:10, TOST, 22.28, 1, -0.06
2023-01-30-14:15, AAPL, 143.385, 1, 0.2
2023-01-30-14:15, MSFT, 243.03, -1, -0.22
2023-01-30-14:15, TOST, 22.34, 1, 0.0
2023-01-30-14:20, AAPL, 143.184, 1, 0.05
2023-01-30-14:20, MSFT, 242.815, -1, -0.07
2023-01-30-14:20, TOST, 22.34, 1, 0.09
2023-01-30-14:25, AAPL, 143.13, 1, -0.02
2023-01-30-14:25, MSFT, 242.74, -1, -0.09
2023-01-30-14:25, TOST, 22.245, 1, 0.01
2023-01-30-14:30, AAPL, 143.15, 1, -0.19
2023-01-30-14:30, MSFT, 242.65, -1, 0.07
2023-01-30-14:30, TOST, 22.235, 1, -0.02
2023-01-30-14:35, AAPL, 143.3395, 1, -0.07
2023-01-30-14:35, MSFT, 242.72, -1, 0.21
2023-01-30-14:35, TOST, 22.255, 1, -0.08
2023-01-30-14:40, AAPL, 143.41, 1, -0.2
2023-01-30-14:40, MSFT, 242.93, -1, -0.17
2023-01-30-14:40, TOST, 22.335, 1, 0.04
2023-01-30-14:45, AAPL, 143.205, -1, -0.22
2023-01-30-14:45, MSFT, 242.76, -1, -0.25
2023-01-30-14:45, TOST, 22.3, 1, 0.02
2023-01-30-14:50, AAPL, 142.99, -1, 0.01
2023-01-30-14:50, MSFT, 242.51, -1, -0.12
2023-01-30-14:50, TOST, 22.28, 1, -0.02
2023-01-30-14:55, AAPL, 142.98, 1, -0.21
2023-01-30-14:55, MSFT, 242.39, -1, 0.23
2023-01-30-14:55, TOST, 22.3, 1, -0.04
2023-01-30-15:00, AAPL, 143.19, 1, 0.15
2023-01-30-15:00, MSFT, 242.62, -1, 0.39
2023-01-30-15:00, TOST, 22.335, 1, -0.04
2023-01-30-15:05, AAPL, 143.335, -1, -0.17
2023-01-30-15:05, MSFT, 243.01, -1, -0.36
2023-01-30-15:05, TOST, 22.38, 1, -0.01
2023-01-30-15:10, AAPL, 143.165, -1, -0.11
2023-01-30-15:10, MSFT, 242.65, -1, -0.21
2023-01-30-15:10, TOST, 22.39, 1, -0.05
2023-01-30-15:15, AAPL, 143.05, -1, 0.02
2023-01-30-15:15, MSFT, 242.44, -1, 0.05
2023-01-30-15:15, TOST, 22.445, 1, 0.17
2023-01-30-15:20, AAPL, 143.07, -1, 0.06
2023-01-30-15:20, MSFT, 242.49, -1, -0.23
2023-01-30-15:20, TOST, 22.275, 1, 0.05
2023-01-30-15:25, AAPL, 143.005, 1, -0.05
2023-01-30-15:25, MSFT, 242.265, -1, 0.12
2023-01-30-15:25, TOST, 22.22, 1, -0.05
2023-01-30-15:30, AAPL, 143.055, 1, -0.16
2023-01-30-15:30, MSFT, 242.38, -1, 0.36
2023-01-30-15:30, TOST, 22.27, 1, 0.04
2023-01-30-15:35, AAPL, 143.21, 1, -0.06
2023-01-30-15:35, MSFT, 242.74, -1, 0.28
2023-01-30-15:35, TOST, 22.235, 1, -0.02
2023-01-30-15:40, AAPL, 143.27, 1, -0.11
2023-01-30-15:40, MSFT, 243.02, -1, 0.15
2023-01-30-15:40, TOST, 22.25, 1, 0.01
2023-01-30-15:45, AAPL, 143.385, 1, -0.18
2023-01-30-15:45, MSFT, 243.17, -1, 0.01
2023-01-30-15:45, TOST, 22.24, 1, -0.0
2023-01-30-15:50, AAPL, 143.205, -1, -0.09
2023-01-30-15:50, MSFT, 243.18, -1, -0.12
2023-01-30-15:50, TOST, 22.235, -1, -0.12
2023-01-30-15:55, AAPL, 143.12, -1, -0.09
2023-01-30-15:55, MSFT, 243.06, -1, -0.3
2023-01-30-15:55, TOST, 22.11, -1, -0.07
2023-01-30-16:00, AAPL, 143.03, -1, -0.02
2023-01-30-16:00, MSFT, 242.76, -1, 0.28
2023-01-30-16:00, TOST, 22.04, -1, -0.0
2023-01-30-16:05, AAPL, 143.01, -1, -0.01
2023-01-30-16:05, MSFT, 243.04, -1, 0.02
2023-01-30-16:05, TOST, 22.04, -1, 0.0
2023-01-30-16:10, AAPL, 143.0218, 1, -0.03
2023-01-30-16:10, MSFT, 243.06, -1, -0.04
2023-01-30-16:15, AAPL, 143.05, 1, -0.08
2023-01-30-16:15, MSFT, 243.02, -1, 0.01
2023-01-30-16:20, AAPL, 143.13, 1, -0.05
2023-01-30-16:20, MSFT, 243.03, -1, -0.08
2023-01-30-16:25, AAPL, 143.18, 1, -0.03
2023-01-30-16:25, MSFT, 242.95, -1, -0.0
2023-01-30-16:30, AAPL, 143.21, 1, -0.06
2023-01-30-16:30, MSFT, 242.95, -1, -0.0
2023-01-30-16:35, AAPL, 143.27, 1, 0.09
2023-01-30-16:35, MSFT, 242.95, -1, -0.07
2023-01-30-16:40, AAPL, 143.18, 1, 0.03
2023-01-30-16:40, MSFT, 242.88, -1, -0.0
2023-01-30-16:45, AAPL, 143.15, 1, 0.03
2023-01-30-16:45, MSFT, 242.88, -1, -0.08
2023-01-30-16:50, AAPL, 143.18, -1, -0.04
2023-01-30-16:50, MSFT, 242.8, -1, 0.05
2023-01-30-16:55, AAPL, 143.14, -1, -0.03
2023-01-30-16:55, MSFT, 242.85, -1, -0.35
2023-01-30-17:00, AAPL, 143.11, -1, 0.01
2023-01-30-17:00, MSFT, 242.5, -1, 0.3
2023-01-30-17:05, AAPL, 143.1199, -1, 0.0
2023-01-30-17:05, MSFT, 242.8, -1, 0.02
2023-01-30-17:10, AAPL, 143.12, -1, -0.02
2023-01-30-17:15, AAPL, 143.1, -1, -0.05
2023-01-30-17:15, MSFT, 242.82, -1, -0.11
2023-01-30-17:20, AAPL, 143.05, -1, -0.01
2023-01-30-17:20, MSFT, 242.71, -1, -0.0
2023-01-30-17:25, AAPL, 143.04, -1, -0.03
2023-01-30-17:25, MSFT, 242.71, -1, -0.14
2023-01-30-17:30, AAPL, 143.01, -1, 0.02
2023-01-30-17:35, AAPL, 143.03, -1, 0.02
2023-01-30-17:40, AAPL, 143.05, -1, -0.02
2023-01-30-17:45, AAPL, 143.03, -1, -0.02
2023-01-30-17:45, MSFT, 242.566, -1, -0.02
2023-01-30-17:50, AAPL, 143.01, -1, -0.03
2023-01-30-17:55, AAPL, 142.9788, -1, -0.03
2023-01-30-17:55, MSFT, 242.55, -1, 0.5
2023-01-30-18:00, AAPL, 142.95, -1, 0.17
2023-01-30-18:05, AAPL, 143.12, -1, 0.09
2023-01-30-18:05, MSFT, 243.05, -1, -0.09
2023-01-30-18:10, AAPL, 143.03, 1, -0.06
2023-01-30-18:15, AAPL, 143.09, 1, -0.01
2023-01-30-18:20, AAPL, 143.1, 1, 0.04
2023-01-30-18:20, MSFT, 242.96, -1, -0.06
2023-01-30-18:25, AAPL, 143.06, 1, -0.02
2023-01-30-18:25, MSFT, 242.9, -1, 0.1
2023-01-30-18:25, TOST, 21.68, 0, -0.0
2023-01-30-18:30, AAPL, 143.08, 1, 0.01
2023-01-30-18:30, MSFT, 242.8, 1, -0.24
2023-01-30-18:35, AAPL, 143.07, 1, -0.21
2023-01-30-18:35, MSFT, 243.04, 1, -0.45
2023-01-30-18:40, AAPL, 143.28, 1, 0.08
2023-01-30-18:40, MSFT, 243.49, 1, 0.24
2023-01-30-18:45, AAPL, 143.2, 1, 0.05
2023-01-30-18:45, MSFT, 243.25, 1, 0.01
2023-01-30-18:45, TOST, 22.04, 0, 0.0
2023-01-30-18:50, AAPL, 143.15, 1, -0.14
2023-01-30-18:50, MSFT, 243.24, 1, 0.26
2023-01-30-18:50, TOST, 21.75, 0, -0.0
2023-01-30-18:55, AAPL, 143.29, 1, 0.09
2023-01-30-18:55, MSFT, 243.5, -1, -0.3
2023-01-30-19:00, AAPL, 143.2, 1, 0.05
2023-01-30-19:05, AAPL, 143.15, 1, 0.0
2023-01-30-19:10, AAPL, 143.15, 1, 0.05
2023-01-30-19:10, MSFT, 243.2, -1, -0.08
2023-01-30-19:15, AAPL, 143.1, 1, 0.06
2023-01-30-19:15, MSFT, 243.12, -1, -0.12
2023-01-30-19:20, AAPL, 143.04, 1, -0.01
2023-01-30-19:20, MSFT, 243.0, -1, -0.02
2023-01-30-19:25, AAPL, 143.05, 1, -0.05
2023-01-30-19:25, MSFT, 242.98, -1, 0.02
2023-01-30-19:30, AAPL, 143.1, 1, -0.01
2023-01-30-19:30, MSFT, 243.0, -1, 0.0
2023-01-30-19:35, AAPL, 143.11, 1, -0.05
2023-01-30-19:35, MSFT, 243.0, 0, -0.0
2023-01-30-19:35, TOST, 21.99, 0, 0.0
2023-01-30-19:40, AAPL, 143.16, 1, 0.04
2023-01-30-19:40, MSFT, 243.16, 0, -0.0
2023-01-30-19:45, AAPL, 143.12, 1, 0.0
2023-01-30-19:45, MSFT, 243.29, 0, 0.0
2023-01-30-19:50, AAPL, 143.11, 0, 0.0
2023-01-30-19:50, MSFT, 243.05, 0, -0.0
2023-01-30-19:55, AAPL, 143.05, 0, 0.0
2023-01-30-19:55, MSFT, 243.11, 0, -0.0
2023-01-30-20:00, AAPL, 143.0, 0, 0.0
2023-01-30-20:00, MSFT, 243.3, 0, 0.0
